Package ID,Strategy ID,Functional Location,Action ID,Description,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan,Action Basis,Tmp
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-CHG-001,1010-CHG-001,Motor Control Centre-GIDG_A07,Inspect the condition of the BCM wiring for damage or deterioration,1,Y,1,0,,,2250715.docx,
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-PLC-002,1010-PLC-002,PLC Battery- GIDG_A01,Change out PLC Battery,3,Y,1,0,,,REPLACE-PM-CL.LC-003628-C-0002.docx,
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-PLC-001,1010-PLC-001,PLC Battery- GIDG_A01,Change out PLC Battery,3,Y,1,0,,,REPLACE-PM-CL.LC-003628-C-0002.docx,
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-CHG-001,1010-CHG-001,Motor Control Centre-GIDG_A06,Inspect the batteries for signs of swelling / distortion or other effects from excess heat,1,Y,1,0,,,2250715.docx,
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-CHG-001,1010-CHG-001,Motor Control Centre-GIDG_A05,Remove dust buildup from the battery casings and terminals,1,Y,1,0,,,2250715.docx,
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-CHG-001,1010-CHG-001,Motor Control Centre-GIDG_A09,Test SMR and alarms,1,Y,1,0,,,2250715.docx,
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-CHG-001,1010-CHG-001,Motor Control Centre-GIDG_A01,Check indicator lights on 24 volt supply UPS in MCC to confirm they are healthy,1,W,44,1,1010-CHG-001 1W-44-01-,,OEC Tasks List,
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-CHG-001,1010-CHG-001,Motor Control Centre-GIDG_A02,Complete lamp test on ESD panel,1,W,44,1,1010-CHG-001 1W-44-01-,,OEC Tasks List,
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-CHG-001,1010-CHG-001,Motor Control Centre-GIDG_A03,Clean all dust from the rectifier enclosure,1,Y,1,0,,,2250715.docx,
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-CHG-001,1010-CHG-001,Motor Control Centre-GIDG_A04,Inspect the SMR internals for excessive amounts of dust,1,Y,1,0,,,2250715.docx,
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-CHG-001,1010-CHG-001,Motor Control Centre-GIDG_A08,Test Battery Cell Condition,1,Y,1,0,,,2250715.docx,
