Action ID,Package ID,Package Decription,Package Groups,Strategy ID,Strategy,ID,Asset Name,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan ID,Action Name,Plan Description,MyPlant Document Number,Oracle Activity,
Motor-Pump Toshiba TIK-COR_A02,Cooroo Plant - Export - Shipping Pump,Cooroo Plant - Export - Shipping Pump,5200 - Cooroo Plant,COR EXP 5200-EM-001,COR,EXP,5200-EM-001,14,M,01,00,COR EXP 14M-01-00,COR EXP 14M-01-00-001,"Clean the grease drain of purged grease, inspect purged grease for evidence of metal particles or contamination and replace the drain plug.",Cooroo Plant Export 5200-EM-001 Shipping Pump Electric Motor Toshiba TIK Inst/Elec Service,2219214.docx,2219214,001
Motor-Pump Toshiba TIK-COR_A06,Cooroo Plant - Export - Shipping Pump,Cooroo Plant - Export - Shipping Pump,5200 - Cooroo Plant,COR EXP 5200-EM-001,COR,EXP,5200-EM-001,14,M,01,00,COR EXP 14M-01-00,COR EXP 14M-01-00-001,Visually inspect condition of all earth wiring.,Cooroo Plant Export 5200-EM-001 Shipping Pump Electric Motor Toshiba TIK Inst/Elec Service,2219214.docx,2219214,001
Motor-Pump Toshiba TIK-COR_A03,Cooroo Plant - Export - Shipping Pump,Cooroo Plant - Export - Shipping Pump,5200 - Cooroo Plant,COR EXP 5200-EM-001,COR,EXP,5200-EM-001,14,M,01,00,COR EXP 14M-01-00,COR EXP 14M-01-00-001,Visually inspect motor for excess dirt and oil build up in particular around cooling fan inlet and outlet areas.,Cooroo Plant Export 5200-EM-001 Shipping Pump Electric Motor Toshiba TIK Inst/Elec Service,2219214.docx,2219214,001
Motor-Pump Toshiba TIK-COR_A04,Cooroo Plant - Export - Shipping Pump,Cooroo Plant - Export - Shipping Pump,5200 - Cooroo Plant,COR EXP 5200-EM-001,COR,EXP,5200-EM-001,14,M,01,00,COR EXP 14M-01-00,COR EXP 14M-01-00-001,Check tightness of all local 3 phase and control terminations.,Cooroo Plant Export 5200-EM-001 Shipping Pump Electric Motor Toshiba TIK Inst/Elec Service,2219214.docx,2219214,001
Motor-Pump Toshiba TIK-COR_A05,Cooroo Plant - Export - Shipping Pump,Cooroo Plant - Export - Shipping Pump,5200 - Cooroo Plant,COR EXP 5200-EM-001,COR,EXP,5200-EM-001,14,M,01,00,COR EXP 14M-01-00,COR EXP 14M-01-00-001,"Visually inspect condition of 3 phase and control cables and lugs for deterioration, overheating and support in terminal box.",Cooroo Plant Export 5200-EM-001 Shipping Pump Electric Motor Toshiba TIK Inst/Elec Service,2219214.docx,2219214,001
Motor-Pump Toshiba TIK-COR_A07,Cooroo Plant - Export - Shipping Pump,Cooroo Plant - Export - Shipping Pump,5200 - Cooroo Plant,COR EXP 5200-EM-001,COR,EXP,5200-EM-001,14,M,01,00,COR EXP 14M-01-00,COR EXP 14M-01-00-001,Visually inspect gasket for deterioration and terminal box for contamination.,Cooroo Plant Export 5200-EM-001 Shipping Pump Electric Motor Toshiba TIK Inst/Elec Service,2219214.docx,2219214,001
Motor-Pump Toshiba TIK-COR_A01,Cooroo Plant - Export - Shipping Pump,Cooroo Plant - Export - Shipping Pump,5200 - Cooroo Plant,COR EXP 5200-EM-001,COR,EXP,5200-EM-001,14,M,01,00,COR EXP 14M-01-00,COR EXP 14M-01-00-001,Re-grease motor bearings.,Cooroo Plant Export 5200-EM-001 Shipping Pump Electric Motor Toshiba TIK Inst/Elec Service,2219214.docx,2219214,001
Run To Failure-SWITCH-VIBRATION_A01,Cooroo Plant - Export - Control and Monitor,Cooroo Plant - Export - Control and Monitor,5200 - Cooroo Plant,COR EXP 5200-HS-5233,,,5200-HS-5233,,,,,,Run To Failure-SWITCH-VIBRATION,Run To Failure-SWITCH-VIBRATION,RTF,RTF,RTF,
Run To Failure-SWITCH-VIBRATION_A01,Cooroo Plant - Export - Crude Oil Shipping Pump Package,Cooroo Plant - Export - Crude Oil Shipping Pump Package,5200 - Cooroo Plant,COR EXP 5200-VSHH-5273,,,5200-VSHH-5273,,,,,,Run To Failure-SWITCH-VIBRATION,Run To Failure-SWITCH-VIBRATION,RTF,RTF,RTF,
Run To Failure-SWITCH-VIBRATION_A01,Cooroo Plant - Export - Crude Oil Shipping Pump Package,Cooroo Plant - Export - Crude Oil Shipping Pump Package,5200 - Cooroo Plant,COR EXP 5200-LSLL-5276,,,5200-LSLL-5276,,,,,,Run To Failure-SWITCH-VIBRATION,Run To Failure-SWITCH-VIBRATION,RTF,RTF,RTF,
Run To Failure-SWITCH-VIBRATION_A01,Cooroo Plant - Export - Booster Pump Package,Cooroo Plant - Export - Booster Pump Package,5200 - Cooroo Plant,COR EXP 5200-HS-0034,,,5200-HS-0034,,,,,,Run To Failure-SWITCH-VIBRATION,Run To Failure-SWITCH-VIBRATION,RTF,RTF,RTF,
Run To Failure-SWITCH-VIBRATION_A01,Cooroo Plant - Export - Control and Monitor,Cooroo Plant - Export - Control and Monitor,5200 - Cooroo Plant,COR EXP 5200-HS-5234,,,5200-HS-5234,,,,,,Run To Failure-SWITCH-VIBRATION,Run To Failure-SWITCH-VIBRATION,RTF,RTF,RTF,
Run To Failure-CONTROLLER_A01,Cooroo Plant - Export - Shipping Pump,Cooroo Plant - Export - Shipping Pump,5200 - Cooroo Plant,COR EXP 5200-PIT-0047,,,5200-PIT-0047,,,,,,Run To Failure-CONTROLLER,Run To Failure-CONTROLLER,RTF,RTF,RTF,
Run To Failure-VALVE_A01,Cooroo Plant - Export - Metering Skid,Cooroo Plant - Export - Metering Skid,5200 - Cooroo Plant,COR EXP 5200-XSV-5269,,,5200-XSV-5269,,,,,,Run To Failure-VALVE,Run To Failure-VALVE,RTF,RTF,RTF,
Run To Failure-PUMP_A01,Cooroo Plant - Export - Crude Oil Shipping Pump Package,Cooroo Plant - Export - Crude Oil Shipping Pump Package,5200 - Cooroo Plant,COR EXP 5200-PX-012,,,5200-PX-012,,,,,,Run To Failure-PUMP,Run To Failure-PUMP,RTF,RTF,RTF,
Run To Failure-PUMP_A01,Cooroo Plant - Export - Crude Oil Shipping Pump Package,Cooroo Plant - Export - Crude Oil Shipping Pump Package,5200 - Cooroo Plant,COR EXP 5200-P-012,,,5200-P-012,,,,,,Run To Failure-PUMP,Run To Failure-PUMP,RTF,RTF,RTF,
Run To Failure-PUMP_A01,Cooroo Plant - Export - Chemical Injection Pump Package,Cooroo Plant - Export - Chemical Injection Pump Package,5200 - Cooroo Plant,COR EXP 5200-PX-004,,,5200-PX-004,,,,,,Run To Failure-PUMP,Run To Failure-PUMP,RTF,RTF,RTF,
